_TRI_REL_AND_TRAN_EZ.TRI_FACILITY_ID,V_TRI_REL_AND_TRAN_EZ.FACILITY_NAME,V_TRI_REL_AND_TRAN_EZ.DOC_CTRL_NUM,V_TRI_REL_AND_TRAN_EZ.REPORTING_YEAR,V_TRI_REL_AND_TRAN_EZ.CHEM_NAME,V_TRI_REL_AND_TRAN_EZ.CAS_NUM,V_TRI_REL_AND_TRAN_EZ.ELEMENTAL_METAL_INCLUDED,V_TRI_REL_AND_TRAN_EZ.CATEGORY,V_TRI_REL_AND_TRAN_EZ.REL_EST_AMT_SUM,V_TRI_REL_AND_TRAN_EZ.CARCINOGEN,V_TRI_REL_AND_TRAN_EZ.CLEAN_AIR,V_TRI_REL_AND_TRAN_EZ.LIST_3350,V_TRI_REL_AND_TRAN_EZ.STREET_ADDRESS,V_TRI_REL_AND_TRAN_EZ.CITY_NAME,V_TRI_REL_AND_TRAN_EZ.COUNTY_NAME,V_TRI_REL_AND_TRAN_EZ.STATE_COUNTY_FIPS_CODE,V_TRI_REL_AND_TRAN_EZ.STATE_ABBR,V_TRI_REL_AND_TRAN_EZ.ZIP_CODE,V_TRI_REL_AND_TRAN_EZ.REGION,V_TRI_REL_AND_TRAN_EZ.FAC_CLOSED_IND,V_TRI_REL_AND_TRAN_EZ.ASGN_AGENCY,V_TRI_REL_AND_TRAN_EZ.ASGN_FEDERAL_IND,V_TRI_REL_AND_TRAN_EZ.PARENT_CO_DB_NUM,V_TRI_REL_AND_TRAN_EZ.PARENT_CO_NAME,V_TRI_REL_AND_TRAN_EZ.INDUSTRY_CODE,V_TRI_REL_AND_TRAN_EZ.SIC_CODES
80403BLLPC4525I,BALL METAL BEVERAGE CONTAINER CORP,1319217767324,2019,CERTAIN GLYCOL ETHERS,N230,N,AIR FUG,63000,N,Y,N,4525 INDIANA ST,GOLDEN,JEFFERSON,08059,CO,80403,8,0,,C,006419147,BALL CORP,332,
80403BLLPC4525I,BALL METAL BEVERAGE CONTAINER CORP,1319217767324,2019,CERTAIN GLYCOL ETHERS,N230,N,POTW RELEASE,0,N,Y,N,4525 INDIANA ST,GOLDEN,JEFFERSON,08059,CO,80403,8,0,,C,006419147,BALL CORP,332,
81501CPCNC1328W,CAPCO LLC,1319217721214,2019,LEAD,7439-92-1,N,TOTAL ONSITE RELEASE,0,Y,Y,Y,1328 WINTERS AVE,GRAND JUNCTION,MESA,08077,CO,81501,8,0,,C,,No US Parent,332,
80204NTDST320WE,US DEPARTMENT OF THE TREASURY US MINT DENVER,1319218012894,2019,LEAD,7439-92-1,N,POTW RELEASE,1.3,Y,Y,Y,320 W COLFAX AVE,DENVER,DENVER,08031,CO,80204,8,0,DTR,F,NA,US DEPARTMENT OF THE TREASURY,332,
81001SHLND250WI,KMG ELECTRONIC CHEMICALS INC,1319218494591,2019,HYDROGEN FLUORIDE,7664-39-3,N,POTW RELEASE,0,N,Y,N,250 WILLIAM WHITE BLVD,PUEBLO,PUEBLO,08101,CO,81001,8,0,,C,009744174,KMG CHEMICALS INC,325,
80002FRNTR6155W,ADVANCED SURFACE TECHNOLOGIES INC,1319218036162,2019,NITRATE COMPOUNDS,N511,N,POTW TREATMENT,66440.7,N,N,N,6155 W 54TH AVE,ARVADA,JEFFERSON,08059,CO,80002,8,0,,C,,No US Parent,332,
8052WWDWRD141WD,WOODWARD INC,1319217967520,2019,CHROMIUM,7440-47-3,N,TOTAL ONSITE RELEASE,0,N,Y,Y,1041 WOODWARD WAY,FORT COLLINS,LARIMER,08069,CO,80524,8,0,,C,030359256,WOODWARD INC,333,
80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,1319218259594,2019,NAPHTHALENE,91-20-3,N,WASTE TREATMENT,14.65,Y,Y,N,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,241804681,SUNCOR ENERGY (USA) INC,324,
80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,1319218259594,2019,NAPHTHALENE,91-20-3,N,TOTAL OFFSITE RELEASE,.16,Y,Y,N,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,241804681,SUNCOR ENERGY (USA) INC,324,
80501LFRGW272ST,MARTIN MARIETTA - DEL CAMINO READY MIX,1319218213332,2019,NITRATE COMPOUNDS,N511,N,TOTAL ON OFFSITE RELEASE,0,N,N,N,2702 STATE HWY 119,LONGMONT,WELD,08123,CO,80501,8,0,,C,809750912,MARTIN MARIETTA MATERIALS INC,327,
80723PBLCS14940,PUBLIC SERVICE CO OF COLORADO PAWNEE STATION,1319218084440,2019,POLYCYCLIC AROMATIC COMPOUNDS,N590,N,TOTAL OFFSITE RELEASE,0,Y,Y,N,14940 COUNTY RD 24,BRUSH,MORGAN,08087,CO,80723,8,0,,C,848381245,XCEL ENERGY,2211,
80468CLMXM19302,CLIMAX MOLYBDENUM CO HENDERSON MILL,1319218102782,2019,NONYLPHENOL ETHOXYLATES,N535,N,POTW RELEASE,0,N,N,N,19302 COUNTY RD 3,PARSHALL,GRAND,08049,CO,80468,8,0,,C,187122973,FREEPORT-MCMORAN INC,2122,
80468CLMXM19302,CLIMAX MOLYBDENUM CO HENDERSON MILL,1319218102782,2019,NONYLPHENOL ETHOXYLATES,N535,N,TOTAL ON OFFSITE RELEASE,52000,N,N,N,19302 COUNTY RD 3,PARSHALL,GRAND,08049,CO,80468,8,0,,C,187122973,FREEPORT-MCMORAN INC,2122,
80233FTRFM11020,ATLAS ROOFING CORP,1319217919594,2019,N-METHYL-2-PYRROLIDONE,872-50-4,N,TOTAL ON OFFSITE RELEASE,0,N,N,N,11020 LEROY DR,NORTHGLENN,ADAMS,08001,CO,80233,8,0,,C,045468559,ATLAS ROOFING CORP,326,
80215CBSTR11308,TERUMO BCT STERILIZATION SERVICES INC,1319217861501,2019,ETHYLENE OXIDE,75-21-8,N,AIR STACK,325,Y,Y,N,11308 W COLLINS AVE,LAKEWOOD,JEFFERSON,08059,CO,80215,8,0,,C,801679200,TERUMO BCT INC,339,
80215CBSTR11308,TERUMO BCT STERILIZATION SERVICES INC,1319217861501,2019,ETHYLENE OXIDE,75-21-8,N,POTW RELEASE,0,Y,Y,N,11308 W COLLINS AVE,LAKEWOOD,JEFFERSON,08059,CO,80215,8,0,,C,801679200,TERUMO BCT INC,339,
81001TRNCX101WI,TRANE CO,1319218360612,2019,MANGANESE,7439-96-5,N,POTW RELEASE,0,N,Y,N,101 WILLIAM WHITE BLVD,PUEBLO,PUEBLO,08101,CO,81001,8,0,,C,001368026,TRANE TECHNOLOGIES CO LLC,333,
80640SNCLR8581E,SINCLAIR DENVER PRODUCTS TERMINAL,1319218093540,2019,NAPHTHALENE,91-20-3,N,AIR STACK,5,Y,Y,N,8581 E 96TH AVE,HENDERSON,ADAMS,08001,CO,80640,8,0,,C,079959185,SINCLAIR OIL CORP,4247,
80911SCHLG3899H,SCHLAGE LOCK CO LLC,1319217838251,2019,NICKEL,7440-02-0,N,POTW METALS,0,Y,Y,Y,3899 HANCOCK EXPRESSWAY,SECURITY,EL PASO,08041,CO,80911,8,0,,C,079218390,ALLEGION S&S US HOLDING CO INC,332,
80911SCHLG3899H,SCHLAGE LOCK CO LLC,1319217838251,2019,NICKEL,7440-02-0,N,POTW RELEASE,5,Y,Y,Y,3899 HANCOCK EXPRESSWAY,SECURITY,EL PASO,08041,CO,80911,8,0,,C,079218390,ALLEGION S&S US HOLDING CO INC,332,
80911SCHLG3899H,SCHLAGE LOCK CO LLC,1319217838251,2019,NICKEL,7440-02-0,N,TOTAL ONSITE RELEASE,15,Y,Y,Y,3899 HANCOCK EXPRESSWAY,SECURITY,EL PASO,08041,CO,80911,8,0,,C,079218390,ALLEGION S&S US HOLDING CO INC,332,
80216ZMMRM201EA,ZIMMERMAN METALS INC,1319218518189,2019,NICKEL,7440-02-0,N,POTW TREATMENT,0,Y,Y,Y,201 E 58TH AVE,DENVER,ADAMS,08001,CO,80216,8,0,,C,,No US Parent,332,
80216ZMMRM201EA,ZIMMERMAN METALS INC,1319218518189,2019,NICKEL,7440-02-0,N,TOTAL ON OFFSITE RELEASE,18,Y,Y,Y,201 E 58TH AVE,DENVER,ADAMS,08001,CO,80216,8,0,,C,,No US Parent,332,
80127SSCRC10570,TTM TECHNOLOGIES,1319218143408,2019,LEAD COMPOUNDS,N420,N,TOTAL ON OFFSITE RELEASE,.55,N,Y,Y,10570 BRADFORD RD,LITTLETON,JEFFERSON,08059,CO,80127,8,0,,C,006644199,TTM TECHNOLOGIES,334,
80403CFMRC16351,CF MAIER COMPOSITES INC,1319217798305,2019,METHYL METHACRYLATE,80-62-6,N,AIR FUG,632,N,Y,N,16351 TABLE MOUNTAIN PKWY COORS TECHNOLOGY CENTER,GOLDEN,JEFFERSON,08059,CO,80403,8,0,,C,622504603,CF MAIER COMPOSITES INC,326,
80403CFMRC16351,CF MAIER COMPOSITES INC,1319217798305,2019,METHYL METHACRYLATE,80-62-6,N,TOTAL ON OFFSITE RELEASE,632,N,Y,N,16351 TABLE MOUNTAIN PKWY COORS TECHNOLOGY CENTER,GOLDEN,JEFFERSON,08059,CO,80403,8,0,,C,622504603,CF MAIER COMPOSITES INC,326,
8042WCLMXMHIGHW,CLIMAX MOLYBDENUM CO-CLIMAX MINE,1319218063093,2019,LEAD  and LEAD COMPOUNDS,N420,Y,TOTAL OFFSITE RELEASE,0,N,Y,Y,HWY 91 FREMONT PASS,CLIMAX,LAKE,08065,CO,80429,8,0,,C,187122973,FREEPORT-MCMORAN INC,2122,
8042WCLMXMHIGHW,CLIMAX MOLYBDENUM CO-CLIMAX MINE,1319218063093,2019,LEAD  and LEAD COMPOUNDS,N420,Y,POTW RELEASE,0,N,Y,Y,HWY 91 FREMONT PASS,CLIMAX,LAKE,08065,CO,80429,8,0,,C,187122973,FREEPORT-MCMORAN INC,2122,
8042WCLMXMHIGHW,CLIMAX MOLYBDENUM CO-CLIMAX MINE,1319218063093,2019,LEAD  and LEAD COMPOUNDS,N420,Y,POTW TREATMENT,0,N,Y,Y,HWY 91 FREMONT PASS,CLIMAX,LAKE,08065,CO,80429,8,0,,C,187122973,FREEPORT-MCMORAN INC,2122,
80521WSTRN100MA,WESTERN FOUNDRIES INC,1319218362349,2019,CHROMIUM,7440-47-3,N,TOTAL OFFSITE RELEASE,8.66,N,Y,Y,100 MARTIN ST,LONGMONT,BOULDER,08013,CO,80501,8,0,,C,,No US Parent,331,
80521WSTRN100MA,WESTERN FOUNDRIES INC,1319218362349,2019,CHROMIUM,7440-47-3,N,POTW TREATMENT,0,N,Y,Y,100 MARTIN ST,LONGMONT,BOULDER,08013,CO,80501,8,0,,C,,No US Parent,331,
80521WSTRN100MA,WESTERN FOUNDRIES INC,1319218362349,2019,CHROMIUM,7440-47-3,N,TOTAL ONSITE RELEASE,6.33,N,Y,Y,100 MARTIN ST,LONGMONT,BOULDER,08013,CO,80501,8,0,,C,,No US Parent,331,
80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,1319218541264,2019,DIOXIN AND DIOXIN-LIKE COMPOUNDS,N150,N,WATER,.0001578,Y,Y,N,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,241804681,SUNCOR ENERGY (USA) INC,324,
80301NPRBT4884S,CORDEN PHARMA BOULDER,1319218454650,2019,DICHLOROMETHANE,75-09-2,N,TOTAL OFFSITE RELEASE,250,Y,Y,Y,4884 STERLING DR,BOULDER,BOULDER,08013,CO,80301,8,0,,C,,No US Parent,325,
80301NPRBT4884S,CORDEN PHARMA BOULDER,1319218454650,2019,DICHLOROMETHANE,75-09-2,N,TOTAL ON OFFSITE RELEASE,750,Y,Y,Y,4884 STERLING DR,BOULDER,BOULDER,08013,CO,80301,8,0,,C,,No US Parent,325,
81004CFSTL225CA,EVRAZ ROCKY MOUNTAIN STEEL,1319217824453,2019,ZINC COMPOUNDS,N982,N,WATER,1055,N,N,N,2100 S FWY,PUEBLO,PUEBLO,08101,CO,81004,8,0,,C,009106055,EVRAZ INC N.A.,331,
81639PBLCS12795,PUBLIC SERVICE CO OF COLORADO HAYDEN STATION,1319218084832,2019,SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),7664-93-9,N,AIR STACK,910,N,N,N,13125 HIGHWAY 40,HAYDEN,ROUTT,08107,CO,81639,8,0,,C,848381245,XCEL ENERGY,2211,
81639PBLCS12795,PUBLIC SERVICE CO OF COLORADO HAYDEN STATION,1319218084832,2019,SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),7664-93-9,N,POTW RELEASE,0,N,N,N,13125 HIGHWAY 40,HAYDEN,ROUTT,08107,CO,81639,8,0,,C,848381245,XCEL ENERGY,2211,
8060WVSTSB15BEA,VESTAS BLADES AMERICA INC BRIGHTON,1319218075479,2019,DIISOCYANATES,N120,N,TOTAL OFFSITE RELEASE,0,N,Y,N,1500-B E CROWN PRINCE BLVD,BRIGHTON,WELD,08123,CO,80603,8,0,,C,004901651,VESTAS BLADES AMERICA INC,333,
8060WVSTSB15BEA,VESTAS BLADES AMERICA INC BRIGHTON,1319218075479,2019,DIISOCYANATES,N120,N,POTW RELEASE,0,N,Y,N,1500-B E CROWN PRINCE BLVD,BRIGHTON,WELD,08123,CO,80603,8,0,,C,004901651,VESTAS BLADES AMERICA INC,333,
8060WVSTSB15BEA,VESTAS BLADES AMERICA INC BRIGHTON,1319218075479,2019,DIISOCYANATES,N120,N,TOTAL ON OFFSITE RELEASE,0,N,Y,N,1500-B E CROWN PRINCE BLVD,BRIGHTON,WELD,08123,CO,80603,8,0,,C,004901651,VESTAS BLADES AMERICA INC,333,
8023WKRGRM1241E,KROGER MOUNTAIN VIEW FOODS,1319218501219,2019,NITRATE COMPOUNDS,N511,N,TOTAL OFFSITE RELEASE,6895.3,N,N,N,10241 E 51ST AVE,DENVER,DENVER,08031,CO,80239,8,0,,C,006999528,THE KROGER CO,311,
81626TRSTT2201R,TRI-STATE GENERATION & TRANSMISSION-CRAIG STATION,1319218014506,2019,ZINC COMPOUNDS,N982,N,POTW RELEASE,0,N,N,N,2101 S RANNEY ST,CRAIG,MOFFAT,08081,CO,81626,8,0,,C,,No US Parent,2211,
8090WRCKYM2725C,MARTIN MARIETTA - CAPITAL FACILITY,1319218213623,2019,POLYCYCLIC AROMATIC COMPOUNDS,N590,N,POTW TREATMENT,0,Y,Y,N,2725 CAPITAL DR,COLORADO SPRINGS,EL PASO,08041,CO,80939,8,0,,C,809750912,MARTIN MARIETTA MATERIALS INC,327,
80022PHLLP3960E,PHILLIPS 66 CO DENVER TERMINAL,1319217824388,2019,N-HEXANE,110-54-3,N,AIR STACK,780,N,Y,N,3960 E 56TH AVE,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,078378508,PHILLIPS 66 CO,4247,
80022PHLLP3960E,PHILLIPS 66 CO DENVER TERMINAL,1319217824388,2019,N-HEXANE,110-54-3,N,TOTAL ONSITE RELEASE,1030,N,Y,N,3960 E 56TH AVE,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,078378508,PHILLIPS 66 CO,4247,
8001WMRTNM241PI,MARTIN MARIETTA - PICADILLY READY MIX,1319218213508,2019,NITRATE COMPOUNDS,N511,N,POTW RELEASE,0,N,N,N,2401 PICADILLY RD,AURORA,ADAMS,08001,CO,80014,8,0,,C,809750912,MARTIN MARIETTA MATERIALS INC,327,
8001WMRTNM241PI,MARTIN MARIETTA - PICADILLY READY MIX,1319218213508,2019,NITRATE COMPOUNDS,N511,N,POTW TREATMENT,0,N,N,N,2401 PICADILLY RD,AURORA,ADAMS,08001,CO,80014,8,0,,C,809750912,MARTIN MARIETTA MATERIALS INC,327,
8001WMRTNM241PI,MARTIN MARIETTA - PICADILLY READY MIX,1319218213508,2019,NITRATE COMPOUNDS,N511,N,TOTAL ON OFFSITE RELEASE,0,N,N,N,2401 PICADILLY RD,AURORA,ADAMS,08001,CO,80014,8,0,,C,809750912,MARTIN MARIETTA MATERIALS INC,327,
81052CFMRC500EC,CF MAIER COMPOSITES INC,1319217893003,2019,METHYL METHACRYLATE,80-62-6,N,TOTAL ON OFFSITE RELEASE,2360,N,Y,N,500 E CRYSTAL ST,LAMAR,PROWERS,08099,CO,81052,8,0,,C,622504603,CF MAIER COMPOSITES INC,326,
81626TRSTT2201R,TRI-STATE GENERATION & TRANSMISSION-CRAIG STATION,1319218014607,2019,MERCURY COMPOUNDS,N458,N,TOTAL OFFSITE RELEASE,164,N,Y,Y,2101 S RANNEY ST,CRAIG,MOFFAT,08081,CO,81626,8,0,,C,,No US Parent,2211,
81626TRSTT2201R,TRI-STATE GENERATION & TRANSMISSION-CRAIG STATION,1319218014607,2019,MERCURY COMPOUNDS,N458,N,TOTAL ON OFFSITE RELEASE,207.72,N,Y,Y,2101 S RANNEY ST,CRAIG,MOFFAT,08081,CO,81626,8,0,,C,,No US Parent,2211,
80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,1319218259430,2019,BENZO(G H I)PERYLENE,191-24-2,N,AIR STACK,.0603,N,Y,N,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,241804681,SUNCOR ENERGY (USA) INC,324,
80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,1319218259430,2019,BENZO(G H I)PERYLENE,191-24-2,N,POTW TREATMENT,0,N,Y,N,5801 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,241804681,SUNCOR ENERGY (USA) INC,324,
80525LFRGW3000S,MARTIN MARIETTA RIGDEN READY MIX,1319218213318,2019,NITRATE COMPOUNDS,N511,N,TOTAL ON OFFSITE RELEASE,0,N,N,N,3000 S CR 9,FORT COLLINS,LARIMER,08069,CO,80525,8,0,,C,809750912,MARTIN MARIETTA MATERIALS INC,327,
8042WCLMXMHIGHW,CLIMAX MOLYBDENUM CO-CLIMAX MINE,1319218063028,2019,AMMONIA,7664-41-7,N,POTW RELEASE,0,N,N,N,HWY 91 FREMONT PASS,CLIMAX,LAKE,08065,CO,80429,8,0,,C,187122973,FREEPORT-MCMORAN INC,2122,
8042WCLMXMHIGHW,CLIMAX MOLYBDENUM CO-CLIMAX MINE,1319218063028,2019,AMMONIA,7664-41-7,N,TOTAL ONSITE RELEASE,0,N,N,N,HWY 91 FREMONT PASS,CLIMAX,LAKE,08065,CO,80429,8,0,,C,187122973,FREEPORT-MCMORAN INC,2122,
80640SNCLR8581E,SINCLAIR DENVER PRODUCTS TERMINAL,1319218093488,2019,1 2 4-TRIMETHYLBENZENE,95-63-6,N,TOTAL ONSITE RELEASE,500,N,N,N,8581 E 96TH AVE,HENDERSON,ADAMS,08001,CO,80640,8,0,,C,079959185,SINCLAIR OIL CORP,4247,
80116GGRGT2571N,AGGREGATE INDUSTRIES WCR INC FRANKTOWN READY MIX PLANT,1319217805795,2019,NITRATE COMPOUNDS,N511,N,TOTAL ONSITE RELEASE,0,N,N,N,2571 N STATE HWY 83,FRANKTOWN,DOUGLAS,08035,CO,80116,8,0,,C,128734949,AGGREGATE INDUSTRIES MANAGEMENT INC,327,
80549RWHDN2700E,RAWHIDE ENERGY STATION,1319217923844,2019,DIOXIN AND DIOXIN-LIKE COMPOUNDS,N150,N,TOTAL OFFSITE RELEASE,0,Y,Y,N,2700 E COUNTY RD 82,WELLINGTON,LARIMER,08069,CO,80549,8,0,,C,075759948,PLATTE RIVER POWER AUTHORITY,2211,
80549RWHDN2700E,RAWHIDE ENERGY STATION,1319217923844,2019,DIOXIN AND DIOXIN-LIKE COMPOUNDS,N150,N,POTW RELEASE,0,Y,Y,N,2700 E COUNTY RD 82,WELLINGTON,LARIMER,08069,CO,80549,8,0,,C,075759948,PLATTE RIVER POWER AUTHORITY,2211,
80759YMTHN3848C,YUMA ETHANOL LLC,1319217941246,2019,ETHYLENE GLYCOL,107-21-1,N,TOTAL ON OFFSITE RELEASE,0,N,Y,N,38480 COUNTY RD H,YUMA,YUMA,08125,CO,80759,8,0,,C,,No US Parent,325,
8090WRCKYM2725C,MARTIN MARIETTA - CAPITAL FACILITY,1319218213609,2019,NITRATE COMPOUNDS,N511,N,TOTAL ONSITE RELEASE,0,N,N,N,2725 CAPITAL DR,COLORADO SPRINGS,EL PASO,08041,CO,80939,8,0,,C,809750912,MARTIN MARIETTA MATERIALS INC,327,
81052CFMRC500EC,CF MAIER COMPOSITES INC,1319217892999,2019,METHANOL,67-56-1,N,TOTAL OFFSITE RELEASE,0,N,Y,N,500 E CRYSTAL ST,LAMAR,PROWERS,08099,CO,81052,8,0,,C,622504603,CF MAIER COMPOSITES INC,326,
80860CRPPL2755S,CRIPPLE CREEK & VICTOR GOLD MINING CO,1319218055743,2019,COPPER COMPOUNDS,N100,N,TOTAL ONSITE RELEASE,2,N,N,N,1280 HWY 67,VICTOR,TELLER,08119,CO,80860,8,0,,C,006988414,NEWMONT MINING CORP,2122,
80751STRLN45ANG,STERLING ETHANOL LLC,1319217941119,2019,METHANOL,67-56-1,N,AIR FUG,98,N,Y,N,450 ANGUS AVE,STERLING,LOGAN,08075,CO,80751,8,0,,C,,No US Parent,325,
81626TRSTT2201R,TRI-STATE GENERATION & TRANSMISSION-CRAIG STATION,1319218014494,2019,MANGANESE COMPOUNDS,N450,N,POTW TREATMENT,0,N,Y,N,2101 S RANNEY ST,CRAIG,MOFFAT,08081,CO,81626,8,0,,C,,No US Parent,2211,
81626TRSTT2201R,TRI-STATE GENERATION & TRANSMISSION-CRAIG STATION,1319218014494,2019,MANGANESE COMPOUNDS,N450,N,TOTAL ONSITE RELEASE,11294.15,N,Y,N,2101 S RANNEY ST,CRAIG,MOFFAT,08081,CO,81626,8,0,,C,,No US Parent,2211,
80640SNCLR8581E,SINCLAIR DENVER PRODUCTS TERMINAL,1319218093490,2019,BENZENE,71-43-2,N,TOTAL OFFSITE RELEASE,0,Y,Y,Y,8581 E 96TH AVE,HENDERSON,ADAMS,08001,CO,80640,8,0,,C,079959185,SINCLAIR OIL CORP,4247,
80701XCLCR1505E,CARGILL MEAT SOLUTIONS CORP,1319217965348,2019,PERACETIC ACID,79-21-0,N,TOTAL ONSITE RELEASE,121,N,N,N,1505 E BURLINGTON AVE,FORT MORGAN,MORGAN,08087,CO,80701,8,0,,C,006249189,CARGILL INC,311,
8090WRCKYM2725C,MARTIN MARIETTA - CAPITAL FACILITY,1319218213573,2019,BENZO(G H I)PERYLENE,191-24-2,N,TOTAL ONSITE RELEASE,.0149,N,Y,N,2725 CAPITAL DR,COLORADO SPRINGS,EL PASO,08041,CO,80939,8,0,,C,809750912,MARTIN MARIETTA MATERIALS INC,327,
80525GLNTT4380S,AVAGO TECHNOLOGIES INC FORT COLLINS COLORADO,1319217893597,2019,COPPER COMPOUNDS,N100,N,POTW METALS,0,N,N,N,4380 ZIEGLER RD,FORT COLLINS,LARIMER,08069,CO,80525,8,0,,C,608374406,BROADCOM LTD,334,
8002WPRNML6151B,PURINA ANIMAL NUTRITION LLC - COMMERCE CITY,1319217625134,2019,COPPER COMPOUNDS,N100,N,TOTAL ONSITE RELEASE,0,N,N,N,6151 BRIGHTON BLVD,COMMERCE CITY,ADAMS,08001,CO,80022,8,0,,C,806578337,LAND O LAKES INC,311,
8022WRCKYM581PE,WELLS CONCRETE (STRUCTURAL PLANT),1319218518076,2019,COPPER,7440-50-8,N,TOTAL OFFSITE RELEASE,0,N,N,N,5801 PECOS ST,DENVER,ADAMS,08001,CO,80221,8,0,,C,,No US Parent,327,
8110WTLFLS615ST,ALTA FUELS INC,1319218459687,2019,ETHYLBENZENE,100-41-4,N,TOTAL ON OFFSITE RELEASE,7,Y,Y,N,615 STATE AVE,ALAMOSA,ALAMOSA,08003,CO,81101,8,0,,C,131504342,WORLD FUEL SERVICES CORP,4247,
80631WSTRN13021,LEPRINO FOODS CO - GREELEY,1319217948330,2019,PERACETIC ACID,79-21-0,N,AIR STACK,5,N,N,N,1302 1ST AVE,GREELEY,WELD,08123,CO,80631,8,0,,C,007076664,LEPRINO FOODS CO,311,
80204NTDST320WE,US DEPARTMENT OF THE TREASURY US MINT DENVER,1319218012906,2019,MANGANESE,7439-96-5,N,TOTAL OFFSITE RELEASE,864.6,N,Y,N,320 W COLFAX AVE,DENVER,DENVER,08031,CO,80204,8,0,DTR,F,NA,US DEPARTMENT OF THE TREASURY,332,
81004GCCRG3372L,GCC RIO GRANDE INC,1319218370450,2019,ANTIMONY COMPOUNDS,N010,N,AIR FUG,.13,N,Y,N,3372 LIME RD,PUEBLO,PUEBLO,08101,CO,81004,8,0,,C,018941164,GCC OF AMERICA,327,
80239MLHGH11100,MILE HIGH EQUIPMENT LLC,1319217887429,2019,NICKEL  and NICKEL COMPOUNDS,N495,Y,RECYCLING,7093,Y,Y,Y,11100 E 45TH AVE,DENVER,DENVER,08031,CO,80239,8,0,,C,079803309,ALI GROUP NA,333,
81639PBLCS12795,PUBLIC SERVICE CO OF COLORADO HAYDEN STATION,1319218084844,2019,ZINC COMPOUNDS,N982,N,AIR FUG,.64,N,N,N,13125 HIGHWAY 40,HAYDEN,ROUTT,08107,CO,81639,8,0,,C,848381245,XCEL ENERGY,2211,
81625TRPPR65MIL,TRAPPER MINING INC,1319218207847,2019,ZINC COMPOUNDS,N982,N,SI 5.5.3B,48,N,N,N,6.5 MILES SW OF CRAIG  LOCATED OFF STATE HWY 13,CRAIG,MOFFAT,08081,CO,81625,8,0,,C,,No US Parent,2121,
80915XLSNN3445N,WEATHERFORD ARTIFICIAL LIFT SYSTEMS LLC,1319218165809,2019,LEAD  and LEAD COMPOUNDS,N420,Y,RECYCLING,3098,N,Y,Y,3285 CAPITAL DR,COLORADO SPRINGS,EL PASO,08041,CO,80939,8,0,,C,062157284,WEATHERFORD INTERNATIONAL,332,
80915XLSNN3445N,WEATHERFORD ARTIFICIAL LIFT SYSTEMS LLC,1319218165809,2019,LEAD  and LEAD COMPOUNDS,N420,Y,POTW RELEASE,.00485,N,Y,Y,3285 CAPITAL DR,COLORADO SPRINGS,EL PASO,08041,CO,80939,8,0,,C,062157284,WEATHERFORD INTERNATIONAL,332,
80915XLSNN3445N,WEATHERFORD ARTIFICIAL LIFT SYSTEMS LLC,1319218165809,2019,LEAD  and LEAD COMPOUNDS,N420,Y,TOTAL ON OFFSITE RELEASE,116.83305,N,Y,Y,3285 CAPITAL DR,COLORADO SPRINGS,EL PASO,08041,CO,80939,8,0,,C,062157284,WEATHERFORD INTERNATIONAL,332,
81424TRSTT30739,TRI-STATE GENERATION & TRANSMISSION-NUCLA STATION,1319218014482,2019,LEAD  and LEAD COMPOUNDS,N420,Y,AIR STACK,.105,N,Y,Y,30739 DD30 RD,NUCLA,MONTROSE,08085,CO,81424,8,0,,C,,No US Parent,2211,
81424TRSTT30739,TRI-STATE GENERATION & TRANSMISSION-NUCLA STATION,1319218014482,2019,LEAD  and LEAD COMPOUNDS,N420,Y,TOTAL ONSITE RELEASE,1.335,N,Y,Y,30739 DD30 RD,NUCLA,MONTROSE,08085,CO,81424,8,0,,C,,No US Parent,2211,
80011SRFRC18401,U.S. DOD USAF BUCKLEY AFB CO,1319218244782,2019,XYLENE (MIXED ISOMERS),1330-20-7,N,WASTE TREATMENT,.4,N,Y,Y,660 S ASPEN ST MS 86,AURORA,ARAPAHOE,08005,CO,80011,8,0,DOD,F,NA,US DEPARTMENT OF DEFENSE,999,
